QID4,QID66,QID9,QID11,QID11_8_TEXT,QID43,QID10_TEXT,QID27_4,QID27_16,QID27_5,QID27_18,QID27_20,QID27_21,QID13,QID19,QID19_5_TEXT,QID45,QID45_12_TEXT,QID49_1,QID49_2,QID49_4,QID49_5,QID49_6,QID49_7,QID46_1,QID46_12,QID46_3,QID46_4,QID46_10,QID64_1,QID64_3,QID64_6,QID64_7,QID64_8,QID39_1,QID39_2,QID39_3,QID39_4,QID39_5,QID39_6,QID62,QID61_1,QID61_2,QID61_10,QID61_5,QID61_6,QID61_7,QID60_1,QID60_3,QID60_6,QID60_7,QID63_1,QID63_2,QID63_4,QID63_5,QID63_6,QID63_7
2,4,3,4,,1,0,2,3,3,4,4,2,1,"1,3",,"1,4,2,5",,4,4,4,4,4,5,4,5,4,4,4,2,4,3,2,3,6,4,2,3,1,5,,,,,,,,,,,,,,,,,
2,6,3,4,,1,0,3,4,4,4,4,5,1,3,,"1,5",,3,3,3,3,2,3,3,3,4,3,4,3,3,3,3,2,1,2,5,6,4,3,,,,,,,,,,,,,,,,,
2,2,1,4,,2,2,4,4,3,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,1,9",4,4,4,4,4,4,3,4,5,2,,,,,,
2,4,3,4,,1,1,4,5,5,,4,4,1,"1,2,3",,"1,5,9",,3,4,4,3,3,3,3,4,5,4,4,3,4,4,5,5,1,2,4,5,3,6,,,,,,,,,,,,,,,,,
2,1,3,4,,7,3,4,5,5,5,4,5,1,"2,3",,"1,2,9",,3,4,2,1,4,2,4,4,3,3,3,3,4,4,2,2,1,5,6,4,2,3,,,,,,,,,,,,,,,,,
2,2,3,4,,3,1,4,5,5,4,4,3,1,"1,3",,"1,5,9",,3,4,1,2,3,4,3,5,5,5,4,3,4,3,4,2,1,4,5,3,6,2,,,,,,,,,,,,,,,,,
2,8,3,4,,2,2,4,4,4,3,4,4,1,1,,"5,12",As a search engine to get general info,4,2,2,2,4,4,3,3,4,3,4,2,2,4,2,2,5,3,4,2,1,6,,,,,,,,,,,,,,,,,
2,4,3,4,,3,2,4,3,4,3,3,4,1,3,,"9,12",help editing essays,4,3,4,3,3,4,4,4,4,4,3,2,3,4,5,4,2,4,6,3,5,1,,,,,,,,,,,,,,,,,
1,8,1,7,,2,2,5,4,5,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3,9,10",2,1,3,3,2,1,3,3,4,5,,,,,,
1,6,3,4,,3,0,4,5,5,4,5,4,1,3,,"1,2,9,12","editing essays, summarizing reading assignments, understanding math topics, etc.",4,2,5,5,3,4,4,5,5,5,5,5,4,5,5,1,1,6,3,4,2,5,,,,,,,,,,,,,,,,,
2,8,1,4,,2,2,5,5,5,5,5,5,1,3,,12,I have only used it for fun.,4,3,4,3,3,5,4,4,3,3,3,3,5,5,2,5,1,6,4,3,2,5,,,,,,,,,,,,,,,,,
1,4,3,7,,4,0,2,4,4,4,3,4,1,3,,"1,5,9",,4,4,4,4,2,4,4,4,4,4,4,1,4,5,1,1,1,2,4,3,5,6,,,,,,,,,,,,,,,,,
1,6,3,4,,2,1,3,4,4,4,3,5,1,3,,"1,5,9",,3,3,4,3,3,3,4,4,4,4,4,3,3,4,3,3,2,6,5,4,3,1,,,,,,,,,,,,,,,,,
2,7,1,4,,1,0,2,4,4,2,4,4,1,3,,"1,2,5",,4,2,4,2,2,4,3,4,4,4,3,4,2,4,1,1,1,6,3,4,2,5,,,,,,,,,,,,,,,,,
2,1,3,5,,3,0,4,5,5,4,4,4,1,"1,3",,"1,4,2,5",,4,4,4,4,3,4,5,5,5,5,5,5,4,5,3,2,4,5,1,3,2,6,,,,,,,,,,,,,,,,,
2,2,3,8,TLIM,4,2,4,4,4,4,3,4,1,1,,12,I haven’t used them for any specific purpose. I just investigated them.,3,3,4,2,2,3,3,3,3,3,3,4,3,4,3,3,2,6,5,3,4,1,,,,,,,,,,,,,,,,,
2,8,1,4,,5,5,5,5,5,5,5,5,1,3,,"4,2,9,12","Other hw help, writing.",2,1,4,2,4,4,5,5,4,2,3,2,4,5,2,2,4,5,2,3,6,1,,,,,,,,,,,,,,,,,
2,8,1,4,,3,1,4,4,4,4,4,4,1,1,,"1,9",,3,4,4,2,2,3,2,4,4,3,4,2,4,3,2,2,2,6,5,4,3,1,,,,,,,,,,,,,,,,,
2,4,3,4,,1,1,3,4,4,4,4,4,1,"1,3",,"1,4,2,5,9",,2,3,4,3,4,3,4,4,4,4,4,3,4,4,2,3,4,5,3,2,1,6,,,,,,,,,,,,,,,,,
2,1,1,4,,1,0,2,4,5,3,3,3,1,3,,"1,2",,1,1,3,3,4,4,4,4,4,4,4,4,4,4,2,3,4,2,3,6,5,1,,,,,,,,,,,,,,,,,
2,4,1,4,,3,0,3,4,5,2,2,3,1,3,,"1,5,9",,3,3,3,3,3,4,2,4,4,4,4,3,3,3,5,2,3,2,4,5,6,1,,,,,,,,,,,,,,,,,
1,4,3,4,,1,1,4,5,4,5,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,9",4,4,4,2,3,3,5,4,5,2,,,,,,
1,1,3,4,,2,1,2,2,4,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,8",4,3,2,3,4,4,1,2,4,4,,,,,,
